id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18377747,Cozy spacious room with private guest bathroom,6690723,Visaria&Huber,Bridgeport,41.83679,-87.64848,Private room,65,2,46,2019-10-23,1.13,1,229
18378046,Cute Rogers park rental -Special price,41690970,Hana,Rogers Park,42.00566,-87.67013,Shared room,62,31,3,2019-08-11,0.08,2,365
18387756,Chic Home! Walk to Nightlife-Comedy-Restaurants!,52879705,Jackie,Lincoln Park,41.91618,-87.63608,Entire home/apt,105,2,172,2020-09-06,4.16,1,60
18409484,Sunny condo close to everything!,11301782,Brian,Lake View,41.9369,-87.6543,Entire home/apt,182,7,50,2020-06-01,1.25,1,21
18415126,Bright Modern 3BR Condo in Heart of Wicker Park,28300293,Danny,West Town,41.904509999999995,-87.67379,Entire home/apt,209,3,136,2020-09-06,3.37,1,349
18431594,The Garden on Wayne,116285731,Erin,Lake View,41.94794,-87.66246,Entire home/apt,104,2,100,2020-09-05,2.43,1,333
18433989,"Stroll to Wrigley Field from a Cozy, Vintage Home",127772312,Susan,North Center,41.94576,-87.67862,Entire home/apt,142,2,110,2020-03-31,2.7,2,135
18457045,Cozy Garden Apartment in lovely Old Irving Park,42612418,Timothy,Irving Park,41.9527,-87.7323,Entire home/apt,65,2,53,2020-02-16,1.34,1,0
18458784,"Heart of Logan Sq, 1 bd/cozy, vintage/artsy, green",7863642,Migdalia,Logan Square,41.92686,-87.70188,Private room,90,3,10,2019-09-20,0.25,1,90
18464680,Spacious 1BR apt 2 blocks from Michigan Ave,41381016,Tali,Near North Side,41.89539,-87.62605,Entire home/apt,110,32,8,2018-08-29,0.2,1,255
18473660,Charming 1 BDR  in great location,3843347,Andrea,Near North Side,41.8947,-87.62709,Entire home/apt,101,30,12,2020-07-31,0.32,3,310
18509024,Entire Chicago House near Wrigley and Logan Square,5403537,Dustin,Avondale,41.93326,-87.6917,Entire home/apt,111,2,125,2020-08-01,3.05,1,170
18509034,Gorgeous garden apartment near O'Hare.,128452488,Grace,Dunning,41.9518,-87.83528000000001,Entire home/apt,69,3,132,2020-09-20,3.55,3,155
18517655,OneEleven RIVER VIEW FURNISHED STUDIO POOL (26),9400379,ExecuSuite Inc.,Loop,41.886520000000004,-87.63143000000001,Entire home/apt,70,31,7,2020-04-12,0.18,30,225
18521017,2BR Lakeview Condo with Deck on a Quiet Street,126783761,Bethany,Lake View,41.93789,-87.64804000000001,Entire home/apt,147,4,127,2020-09-07,3.11,1,315
18522455,Beautiful 3-bed Condo Near University of Chicago,67665258,Corey,Woodlawn,41.78153,-87.61158,Entire home/apt,99,1,332,2020-08-23,8.1,2,282
18560208,"Cozy private unit near transit, dining & nightlife",7497823,Justin,Logan Square,41.91918,-87.68895,Entire home/apt,59,2,141,2019-12-12,4.61,1,0
18570989,"Luxury, private bedroom suite in Lakeview",128938940,Barry,Lake View,41.94039,-87.64811999999999,Private room,125,2,65,2020-02-16,1.6,1,90
18582417,Luxury High-Rise Condo,47523544,Omar,Loop,41.88595,-87.62747,Entire home/apt,300,25,2,2017-09-10,0.05,1,0
18583660,Champagne Suite:  AirBnB Super Host,93017116,Randall,Grand Boulevard,41.811409999999995,-87.60861,Private room,100,3,77,2020-01-01,1.92,4,262
18591272,Laid back Private Room  w/ FREE PARKING,91186260,Jessie,Englewood,41.7899,-87.63423,Private room,23,6,15,2019-03-18,0.38,6,82
18596206,Northside bright and comfy retreat,23006241,Elleene And Vic,Rogers Park,42.00574,-87.67114000000001,Entire home/apt,89,2,104,2020-08-23,2.59,1,49
18601472,Large 3B/2.5 Bth by Lakefront - Long stays welcome,17363046,Courtney,Uptown,41.97123,-87.65304,Entire home/apt,289,2,35,2020-09-01,0.97,1,351
18609191,Charming 2-BR/1-bath near Wrigley,9094538,Nicole,Lake View,41.94017,-87.66507,Entire home/apt,73,1,71,2020-03-22,1.74,37,67
18636382,"Unwind in the Bath at a Hip, Historic Coach House",14729644,Elinor,West Town,41.9086,-87.68876999999999,Entire home/apt,109,2,185,2020-08-30,4.62,1,2
18636662,Modern Logan Square Apartment near Public Transit,2069798,Afsha,Logan Square,41.91555,-87.71056999999999,Entire home/apt,121,1,144,2020-03-22,3.51,6,0
18638690,Rare large Duplex Gem near Wrigley & Logan Square,100386347,Lisa,Avondale,41.93308,-87.69153,Entire home/apt,289,2,75,2020-03-08,1.85,1,179
18638839,⭐️Walk + Transit Score 90+⭐️Pvt Bathroom⭐️3rd Fl⭐️,51277433,Kanan,Near North Side,41.901070000000004,-87.63298,Private room,85,1,82,2020-08-31,2.18,2,353
18687892,Renovated 3BR Duplex in Logan Square,96064608,Matt,Logan Square,41.925129999999996,-87.71136,Entire home/apt,184,4,99,2020-09-07,2.43,2,0
18691257,Logan Square Studio WITH A/C - NO CLEANING FEE,86913754,Stephen,Logan Square,41.924620000000004,-87.70891,Entire home/apt,123,2,134,2020-09-08,3.3,1,83
18697223,"Quiet & Comfy, Steps from the Hub of Artsy 18th St.",17635314,Jaime & Jennifer,Lower West Side,41.85824,-87.65223,Entire home/apt,98,2,116,2020-09-15,2.95,1,160
18704537,Spacious 4BR/2BA Duplex near Wrigley!,9094538,Nicole,Lake View,41.93974,-87.66359,Entire home/apt,124,1,60,2020-03-08,1.48,37,158
18708060,Entire Level in north park by Brown Line Subway,130066930,David,Albany Park,41.97181,-87.71274,Entire home/apt,65,1,109,2019-12-16,2.68,1,135
18708881,GLASS HAUS STUDIO + KING BED!,33127842,Kari,Near North Side,41.89652,-87.63249,Entire home/apt,149,21,5,2020-05-06,0.13,26,365
18722151,House 3BED/2BATH/1PARKING close to Downtown & Lake,129809208,Junni,West Ridge,41.99277,-87.67768000000001,Entire home/apt,198,2,115,2020-07-24,2.83,3,344
18735316,Private Large bedroom in 5bed/3ba penthouse,66275798,Carol,Hyde Park,41.80076,-87.59991,Private room,65,3,39,2020-03-07,0.97,3,137
18735326,Experience Chicago right from your window,32835578,Luis Daniel,Humboldt Park,41.9099,-87.73227,Entire home/apt,69,7,37,2020-09-01,0.94,1,316
18736235,PENTHOUSE KING studio suite downtown River North!,63313003,K,Near North Side,41.89784,-87.63257,Entire home/apt,155,30,2,2019-07-02,0.08,31,365
18738106,Private and Cozy Guest Room,22484523,Dorhec & Kyle,Logan Square,41.93184,-87.68896,Private room,35,1,5,2020-08-22,0.72,1,83
18755550,"Clean, spacious, contactless check-in, location!!!",56104711,Amy,Lake View,41.93475,-87.65903,Entire home/apt,121,2,47,2020-06-21,1.23,1,236
18769456,"Large On Space, Huge On Comfort",111302591,Jay,Woodlawn,41.784279999999995,-87.61496,Entire home/apt,50,2,60,2020-08-30,1.48,1,280
18779737,Your friendly home.,129954271,Fabrice,West Town,41.9079,-87.67875,Private room,105,1,1,2017-12-17,0.03,1,179
18785874,Beautiful Treehouse Apartment in Andersonville,53374863,Chelsea,Edgewater,41.980270000000004,-87.67286999999999,Private room,50,1,80,2020-02-23,1.97,1,0
18786342,Explore Chicago From a Stylish Home,130748343,Nilsa,West Town,41.90104,-87.6718,Entire home/apt,148,3,152,2020-09-19,3.78,1,40
18822176,Charming Cozy Master Bedroom for Travel Lover,76133827,Anny,West Town,41.895590000000006,-87.66450999999999,Private room,81,1,68,2020-07-24,1.7,6,353
18836903,Grand Garden Getaway with Chic Cottage Atmosphere,131184554,Nicholas & Jesse,Edgewater,41.98462,-87.66688,Entire home/apt,300,2,60,2019-12-15,1.5,2,143
18854028,Charming 2BR on Quiet Street Close to the Action,131335007,Matthew,Lake View,41.935759999999995,-87.65746999999999,Entire home/apt,219,2,84,2020-09-07,2.12,1,151
18855639,West Town Living in a Bright and Private Room,96093069,Sujata,West Town,41.89285,-87.66143000000001,Private room,110,1,66,2019-10-20,1.65,2,81
18856449,-CHICAGO STUDIO IN JEFFERSON PARK O'HARE ROSEMONT-,131366873,Jozef & Robert,Jefferson Park,41.9704,-87.76517,Entire home/apt,68,2,74,2020-09-06,1.93,2,49
18871593,Cozy Peach room,104526288,Myrtle,North Park,41.99232,-87.71478,Private room,35,2,36,2020-06-01,0.89,2,352
18875441,SANITIZED Hyde Park Retreat near UChicago,100179,Kenneth,Woodlawn,41.7843,-87.61216999999999,Private room,46,2,52,2020-03-17,1.3,8,0
18893157,Exposed brick loft in the heart of Old Town,67788755,Kris,Near North Side,41.90762,-87.63465,Entire home/apt,135,2,3,2017-07-02,0.07,1,0
18900360,Wrigleyville Getaway,131717124,Emiliano,Lake View,41.94815,-87.65975,Entire home/apt,245,1,85,2020-03-15,2.24,2,68
18918084,Lakeview Penthouse-DePaul/Theatre/Wrigley/Parking,11645672,Kelly,Lake View,41.93938,-87.65541999999999,Entire home/apt,116,2,138,2020-09-06,3.46,1,154
18919800,Creative Room in the Sky,5732624,Mike,Lower West Side,41.85693,-87.67000999999999,Private room,47,1,220,2020-03-18,5.45,2,5
18928220,Private Entrance  Urban Retreat @ Fulton House!,56917234,Lara,East Garfield Park,41.8856,-87.70648,Entire home/apt,89,3,98,2020-09-05,2.45,3,364
18932606,"Boutique and comfy 1 bedroom, East Village",15783440,Christine,West Town,41.90016,-87.67551999999999,Entire home/apt,150,3,68,2020-04-10,1.71,1,345
18933344,Ravenswood Private Room,6808293,Jon,Uptown,41.97059,-87.67296999999999,Private room,75,2,1,2019-10-13,0.09,2,88
18941958,Spacious apartment in Budlong Woods/Lincoln Square,122342855,April,Lincoln Square,41.980340000000005,-87.69015999999999,Entire home/apt,95,3,34,2019-11-03,0.87,1,0
18949863,Cozy studio,132108190,Madeline,Belmont Cragin,41.91681,-87.75598000000001,Private room,35,4,4,2019-03-12,0.13,1,263
18963114,Lakeview Studio steps from Boystown and Red Line,39878504,Katie,Lake View,41.94877,-87.65146999999999,Entire home/apt,140,4,31,2019-10-07,0.78,1,180
18978187,"Chic, Modern Lincoln Square Apartment with Open Layout",9124299,Eric,Lincoln Square,41.97606,-87.69084000000001,Entire home/apt,119,3,110,2020-08-15,3.98,1,290
19000293,Cozy Fresh Bedroom for Travel Lover,76133827,Anny,West Town,41.89633,-87.66235,Private room,66,1,53,2020-03-21,1.33,6,351
19013761,Entire 2 bed/2 bath condo VERY close to Wrigley,27222261,Amy,Lake View,41.94462,-87.65225,Entire home/apt,84,1,22,2019-08-12,0.56,1,0
19018717,Cozy apartment in quiet residential area,92534777,Ria,Bridgeport,41.83602,-87.6556,Entire home/apt,104,2,231,2020-08-23,5.74,2,179
19018922,The Midway Flat,132698758,Gloria,Archer Heights,41.80385,-87.71764,Private room,114,1,17,2019-09-15,0.44,1,342
19038415,"+ King Bed, Smart TV, Washer/Dryer, Friendly Dog +",132851466,Joey,Norwood Park,41.9931,-87.78361,Private room,54,20,16,2020-08-15,0.4,4,364
19038878,Comfortable room in the Heart of Chicago,125412587,Luis,Lower West Side,41.85456,-87.67829,Private room,65,3,43,2019-10-24,1.08,2,89
19044554,Living Room by the Lake,5103368,Makeda,Rogers Park,42.01579,-87.66901,Private room,32,2,41,2020-07-27,1.02,1,89
19084559,Best location! Instant Book it! entire 1st floor,83032647,Peter,Lower West Side,41.85822,-87.65904,Entire home/apt,60,2,142,2020-08-30,3.58,3,298
19087342,Modern & chic 4BR/2BA duplex in hip Wicker Park,115737926,Mildred,West Town,41.90623,-87.68288000000001,Entire home/apt,199,2,42,2020-09-06,1.06,1,162
19088359,South loop/downtown Chicago Condo,46980307,LaDonna,Near South Side,41.86079,-87.62007,Entire home/apt,207,1,9,2017-07-03,0.22,1,0
19093790,Gem Loft in the Gold Coast!,46419638,Amanda,Near North Side,41.90462,-87.6283,Entire home/apt,99,2,91,2020-09-01,2.67,1,82
19100264,"Spacious PRIVATE Bedroom, FREE WIFI, & more...",44358452,Ms. Vee,South Chicago,41.738009999999996,-87.56425,Private room,25,32,1,2018-08-04,0.04,1,364
19101743,Chicago's Pleasantville Townhome,39607981,Adyna,Austin,41.915009999999995,-87.76106,Private room,35,2,130,2020-08-31,3.43,1,354
19114011,Stylish Room in a Chicago Brownstone - A,4434,Kellen,Douglas,41.83303,-87.61966,Private room,63,2,79,2019-10-29,2.06,5,0
19118210,SUITE HOME CHICAGO  Your Own Private Floor!,55340110,Elizabeth,Irving Park,41.955,-87.71299,Private room,63,1,94,2019-10-21,2.38,1,41
19123858,Great Location Studio II,14241347,Ensavi,Near North Side,41.90124,-87.63056,Entire home/apt,59,1,256,2020-09-07,6.4,5,312
19124180,Great Location Studio III,14241347,Ensavi,Near North Side,41.90197,-87.63043,Entire home/apt,58,1,287,2020-09-09,7.17,5,306
19136596,Bridgeport Garden Apartment,133758803,Juan,Bridgeport,41.83384,-87.64805,Entire home/apt,68,2,101,2020-08-17,2.59,1,153
19144279,"+ Very Safe Area, Friendly Dog, Laundry, SmartTV +",132851466,Joey,Norwood Park,41.99204,-87.78305999999999,Private room,56,5,34,2020-03-27,0.87,4,364
19144299,"Condo 5 blocks from United Center, 2 to train",37730662,Colby,Near West Side,41.87942,-87.68473,Entire home/apt,44,2,12,2019-11-04,0.31,1,0
19158517,Redesigned Lower Level Studio in Historic Building,54727125,Matt,Lincoln Park,41.91398,-87.6428,Entire home/apt,111,2,123,2020-08-01,3.71,1,349
19181101,The Morning Room.Close To Everything+ParkingPermit,108250312,Andres,Lake View,41.94986,-87.65085,Private room,83,1,45,2020-02-15,1.18,4,365
19182676,Heart❤️of Hyde Park: Lakefront Private Room w/Pool,134175929,Michael,Kenwood,41.80467,-87.58608000000001,Private room,53,2,82,2019-10-23,2.13,1,0
19194773,West Town/Ukrainian Village/Wicker Park Abode,23415583,Jennifer,West Town,41.9019,-87.68784000000001,Entire home/apt,98,2,137,2020-03-01,3.99,1,0
19195727,Romantic Room. Safe.Fresh.Clean+ParkingPermits,108250312,Andres,Lake View,41.94905,-87.64905,Private room,83,1,73,2020-07-30,1.83,4,365
19196148,First floor with private bedroom Ukrainian Village,134285327,Margaret,West Town,41.89846,-87.67848000000001,Private room,70,2,23,2020-03-01,0.58,2,1
19199419,Airy & Clean 2BR Apt.+ Free Covered Garage Parking,35781467,Ariel & Sona,Portage Park,41.96595,-87.76706999999999,Entire home/apt,109,1,138,2020-08-25,3.64,9,193
19208339,"Conveniently located, cozy 2 bedroom garden unit.",73228641,Martha,West Town,41.91299,-87.68996,Entire home/apt,118,1,14,2019-11-11,0.46,1,145
19242207,"Haddon Hideaway, a cozy room in a Landmark Cottage",134723134,Linda,West Town,41.90263,-87.67560999999999,Private room,50,2,134,2020-03-14,3.42,1,264
19242274,Beautiful Lincoln Park/ De Paul Complimentary Pkg,134707455,Jane,Lincoln Park,41.91462,-87.64969,Entire home/apt,149,3,108,2020-09-07,2.74,1,122
19243410,Wrigley Field Grand Slam,126136948,Mark,Lake View,41.94662,-87.65556,Shared room,300,2,4,2017-09-10,0.11,1,83
19245639,Sunny 1 BD filled with Plants in Logan Square area,1264800,Natalia,Avondale,41.93331,-87.70056,Entire home/apt,127,7,153,2020-03-06,3.9,1,156
19246946,Charming Chinatown Home by McCormick★Downtown,17888170,MiLo And Chandra,Armour Square,41.85208,-87.63795999999999,Entire home/apt,195,2,140,2020-03-08,3.54,3,70
19249295,Double bed with private bathroom; easy city access,40226382,Catherine,Edgewater,41.99537,-87.66436999999999,Private room,50,1,2,2018-09-22,0.08,1,0
19263774,1 Room 1 bath E Rogers Park nr Evanston Lake & NU,1599090,Evelyn,Rogers Park,42.02042,-87.66686999999999,Private room,65,28,35,2020-01-31,0.92,1,179
19269442,Cozy Lincoln Square Studio,35304490,Sayora,Lincoln Square,41.97005,-87.69422,Entire home/apt,75,1,63,2018-05-25,1.6,1,0
19283060,A modern space blocks from public transportation,21955427,Justin,Near West Side,41.87358,-87.68473,Private room,34,1,230,2020-09-06,5.82,1,70
19285860,Luxurious Urban Oasis,135055128,Forrest/Laura,Logan Square,41.91636,-87.70499000000001,Entire home/apt,123,60,44,2020-02-15,1.12,1,0
19308810,The Victorian Room. 2Beds. ParkngPermts. Cubs Area,108250312,Andres,Lake View,41.9504,-87.65016999999999,Private room,83,1,50,2020-03-15,1.36,4,364
19376768,Roomy 1-Bed in the heart of Wrigley/Boystown!,19416515,Alloy,Lake View,41.9459,-87.64724,Entire home/apt,120,1,8,2017-11-13,0.21,1,0
19414085,"Bright, Spacious SANITIZED Flat w/Outdoor Porch",209564,Ami,Lake View,41.9454,-87.65478,Shared room,159,2,102,2020-08-09,2.59,4,56
19416779,Beautiful North Side Haven,30810272,Donna,Avondale,41.94234,-87.72303000000001,Private room,56,2,7,2018-08-06,0.18,1,89
19422982,DREAMY Downtown Penthouse,69264508,Joshua,Near North Side,41.89529,-87.6268,Private room,218,2,42,2020-07-05,1.12,2,180
19424810,Stunning Retro Apartment in Andersonville,136186496,Jim,Edgewater,41.984390000000005,-87.67227,Entire home/apt,87,1,253,2020-09-20,6.49,2,333
19432136,The University of Chicago Hospital/Campus Room,12728248,Judy,Hyde Park,41.791509999999995,-87.59395,Private room,50,3,4,2019-06-20,0.15,2,89
